"scenario_id","mode","cefr","title","npc_role","setting","user_turns","npc_lines","model_answers","turkish_hints","naturalness_1_5","grammar_ok","cultural_fit_ok","reviewer_notes"
"bar.approach.24.42","bar","C2","Jazz Set Critique — Nuanced Banter","Seasoned jazz aficionado","Jazz lounge, set break","3","Thoughts on the first set? || Interesting. I thought the horns were searching, not tentative — there's a difference. || Either way — what'd you make of the leader's choice to open with the ballad? || Conviction. Yeah — I'd grant you that. There was no hedging up there.","The rhythm section was locked in, that said, the horns felt tentative || Point taken — I can see the case for searching || It asked a lot of the room early","C1: 'The rhythm section was locked in, that said, the horns felt tentative'. || C1 stance: 'Point taken — I can see the case for searching'. || C1: 'It asked a lot of the room early'.","","","",""
"career.b1.askquestions.1","career","B1","Asking the Interviewer","Hiring Manager","End of interview","3","We've got about five minutes left. Any questions for me? || Great question. We'd want you ramped up by month three and owning a workstream by month six. What else? || Honestly, our decision process is pretty async — we write proposals and discuss in threads. Sometimes that's slow. Anything else? || We'll do one more round, then a decision within two weeks. Thanks for the thoughtful questions.","What does success look like in the first six months? || How does the team make decisions when there's disagreement? || What are the next steps from here, and what's the timeline?","Açılış: 'Yes, a few questions actually.' Sonra: 'What does success look like in the first six months?' || Soru #2: ekip dinamiği. 'How does the team make decisions when there's disagreement?' veya 'What's something the team wishes worked better?' || Soru #3: süreç. 'What are the next steps from here, and what's the timeline?'","","","",""
"career.b2.counter_offer.1","career","B2","Counter-Offer'a Hayir Demek","Manager + HR","Counter-offer meeting, 30 min","3","Thanks for coming in. We talked with leadership — we want to match your new offer with a 20% bump, fast-track to senior, and lead role on the platform team. Would you reconsider? || Can I ask — what would it take? Is it the title, the scope, the comp, the manager? || What if we restructured the role — full lead, you pick the team?","Really appreciate this — genuinely flattered. Decision is firm. Want to be upfront. || Not about comp or title. It's about the next chapter — the pull forward. || I hear you — decision is firm. Don't want to keep going back and forth.","Sicak + kesin: 'Really appreciate this — genuinely flattered. Decision is firm. Want to be upfront.' || Reddet REASON ile: 'Not about comp or title. It's about the next chapter — the pull forward.' || Tekrar net: 'I hear you — decision is firm. Don't want to keep going back and forth.'","","","",""
"daily.survival.a1.1","daily","A1","Selamlaşma — Hello, How are you?","Hotel receptionist","Hotel lobby, morning","3","Good morning! How are you today? || Wonderful. And how are you? || I'm doing well, thank you for asking. || You too. Enjoy your stay.","Good morning. I'm fine, thanks. || I'm good. And you? || Thank you. Have a nice day.","Selamı iade et + nasıl olduğunu söyle: 'Good morning. I'm fine, thanks.' || Cevap ver, geri sor: 'I'm good. And you?' || Vedalaş: 'Thank you. Have a nice day.'","","","",""
"daily.a2.datetime.1","daily","A2","Tarih + saat tam ifadeleri","Friend","Texting / coffee plan","3","Hey, are you free this week for coffee? || Tuesday works for me. What time? || 3 pm sounds good. Where do you want to go? || Perfect. See you Tuesday at 3!","I'm free Wednesday and Thursday || At 4 in the afternoon? || How about the cafe on Main Street?","'Yes! How about Tuesday?' veya 'I'm free Wednesday and Thursday'. || 'How about 3 pm?' veya 'At 4 in the afternoon?' || 'How about the cafe on Main Street?' veya 'Up to you'.","","","",""
"daily.bank.30.1","daily","B1","ATM'de Para Çekme","Bank teller","Bank branch counter","3","Good morning! How can I help you today? || I'm sorry to hear that. Can I see your ID? I'll need to verify your account. || Thanks. Your card will be cancelled — we'll order a new one. Meanwhile, I can do a cash withdrawal here.","Hi, the ATM ate my card — wrong PIN three times. || Here's my ID. Can I still withdraw cash today? || Could I withdraw two hundred dollars, please?","Durumu açıkla: 'Hi, the ATM ate my card — wrong PIN three times.' || Kibar onay + ek soru: 'Here's my ID. Can I still withdraw cash today?' || Para çekme miktarı söyle: 'Could I withdraw two hundred dollars, please?'","","","",""
"daily.expand.17","daily","C2","Taşınma — depozito iadesi","Landlord","Phone call about deposit","3","Hi Berk. You got the deposit return statement? || Sure. The big ones are $300 for paint and $200 for carpet cleaning. || Most of it, yes. But there were scuff marks and that wall you painted blue. || Fair point on the blue wall. I'll send photos of what I'm seeing.","Yes — I'd like to go through some of the deductions. || I lived there three years — isn't that normal wear and tear? || You said it was okay if I painted it back. Can you send photos?","'Yes — I'd like to go through some of the deductions.' || İtiraz: 'I lived there three years — isn't that normal wear and tear?' || 'You said it was okay if I painted it back. Can you send photos?'","","","",""
"flirt.deep.1","flirt","A2","Randevu Plani — Kahve mi Aksam Yemegi mi","Match","dating app chat, switching to real plans","3","Okay so we've been texting for a week — at this point we should probably just meet, right? || Haha okay good. So what are you thinking — coffee, dinner, something else? || Coffee works for me — although I have to warn you, I'm one of those annoying people who orders a weird oat milk thing.","Honestly was about to suggest the same || How about coffee — low-key, easier to escape if it's weird, haha. || Allowed — as long as you don't order it in Latin.","Onayla + momentum: 'Honestly was about to suggest the same' veya 'Reading my mind.' || Dusuk bahis oner: 'How about coffee — low-key, easier to escape if it's weird, haha.' || Sakaya gir: 'Allowed — as long as you don't order it in Latin.'","","","",""
"flirt.banter.2.1","flirt","B1","İlk Cevaba Karşılık","Match","Mid-conversation dating app chat","3","Honestly? I have an embarrassing amount of knowledge about competitive ferret racing. Don't ask why. || It's a long story but basically my college roommate had three ferrets and we got bored. They wear tiny costumes. || Hahaha okay I'll dig them up. Your turn — give me a weird hobby of yours.","Okay now I'm intrigued, you have to explain || Tiny costumes?? I need photos. || Honestly, I've watched every Studio Ghibli film three times","Reaksiyon ver: 'Okay now I'm intrigued, you have to explain' veya 'No way — competitive ferret racing??' || Devam: 'Tiny costumes?? I need photos.' veya 'This story just got better.' || Garip hobini paylaş: 'Honestly, I've watched every Studio Ghibli film three times' veya 'Don't judge me — I collect vintage stamps'.","","","",""
"flirt.deep.39","flirt","C2","Aldatma Aciga Cikti — Yuzlesme","Cheating partner","At home — confrontation about cheating","3","How long have you known? || I'm so sorry. It was a mistake — please, can we work through this?","Sit down. I know about [name]. Don't lie to me anymore. || Three hours. I'm asking the questions tonight. || Honesty is non-negotiable. I'm not deciding anything tonight.","Kontrollu giris: 'Sit down. I know about [name]. Don't lie to me anymore.' || Cevap + kontrol: 'Three hours. I'm asking the questions tonight.' || Sinir net: 'Honesty is non-negotiable. I'm not deciding anything tonight.'","","","",""
"ielts.p1.1","ielts","B1","Part 1 — Home & Hometown","IELTS Examiner","Formal exam room, recording device on table","3","Let's begin. Can you tell me where you live? || And what do you like most about your hometown? || Is there anything you would change about it?","I'm from Ankara, but I live in Istanbul now || What I like most is the food || If I could change one thing, it would be the traffic","Yer söyle: 'I live in Istanbul' veya 'I'm from Ankara, but I live in Istanbul now'. Türk öğrenci 'I am live' der — yanlış, 'I live' kullan. || Kalıp: 'What I like most is the food' veya 'The best thing is how vibrant it is'. || Eleştiri yumuşat: 'If I could change one thing, it would be the traffic' — direkt 'too bad' deme.","","","",""
"ielts.p1.5","ielts","B2","Part 1 — Food & Cooking","IELTS Examiner","Formal exam room","3","What kind of food do you like? || Do you cook? How often? || What's a dish you can make well?","I'm a big fan of Mediterranean — lots of olive oil, fresh herbs || I try to cook three or four times a week || I make a pretty good lentil soup","Tür belirt: 'I'm a big fan of Mediterranean — lots of olive oil, fresh herbs'. Türk öğrenci 'I love food' der, çok genel. || Frekans: 'I try to cook three or four times a week' veya 'Honestly, I rarely cook — I usually order in'. || Spesifik ye: 'I make a pretty good lentil soup' — 'pretty good' = makul iyi. Türk öğrenci 'a good food' der → 'a good dish' kullan.","","","",""
"ielts.p2.5","ielts","C1","Part 2 — A difficult decision you made","IELTS Examiner","Formal exam room","3","Describe a difficult decision you had to make. Say what the decision was, why it was difficult, and how you eventually decided. || Has time proven you right? || What advice would you give someone in a similar situation? || Thank you. Let's move on to part three.","I was torn between staying in my comfortable job and pursuing my master's abroad || In hindsight, I'd say I made the right call — though I sometimes wonder || My main piece of advice would be — don't rush it, but don't drag it out either","Yapı: dilemma + iki yön + karar + sonuç. C1 register: 'I was torn between staying in my comfortable job and pursuing my master's abroad'. || 'In hindsight' = sonradan bakınca. C1 phrase: 'In hindsight, I'd say I made the right call — though I sometimes wonder'. || Hipotetik tavsiye: 'My main piece of advice would be — don't rush it, but don't drag it out either'.","","","",""
"ielts.p3.3","ielts","C2","Part 3 — Education & Future Skills","IELTS Examiner","Formal exam room","3","Should higher education be free for everyone? || What skills will be most important in twenty years? || Is formal education still the best way to learn?","Ideally yes — it's the bedrock of social mobility. But funding it without compromising quality is the catch || Adaptability and emotional intelligence — automation will handle the technical, what's left is the human element || Not necessarily — for fields like coding, bootcamps often produce more job-ready graduates","Tartışmacı görüş: 'Ideally yes — it's the bedrock of social mobility. But funding it without compromising quality is the catch'. || Geleceğe yönelik: 'Adaptability and emotional intelligence — automation will handle the technical, what's left is the human element'. || Modern alternatives: 'Not necessarily — for fields like coding, bootcamps often produce more job-ready graduates'.","","","",""
"intro.match.0.1","intro","unmapped","İlk dating app Mesajı","dating app match (Emma, 26)","dating app DM","3","hey what's up :) || haha same. saw you like climbing — i've been wanting to try that. is it really as hard as it looks? || okay i'm sold. saturday? || perfect — saturday it is. i'll text you the details :) ","Just chilling, you? || You should try it sometime || Saturday works for me.","Kısa + günlük. 'Just chilling, you?' veya 'Not much, you?' işe yarar. 'I am fine' yazma — robot gibi gelir. || dating app'da konuşma davete döndürülür. 'You should try it sometime' veya 'I can show you' — 2 mesajda buluşma teklifi açar. 'Yes it is hard' bitirir konuşmayı. || Planı netleştir: 'Saturday works for me.' veya 'Perfect, let's do Saturday.'","","","",""
"order.bar.7.1","order","A2","Bar İçecek Sipariş","Bartender","Busy bar, evening","3","Hey, what can I get you? || We've got six beers on tap — two IPAs, a stout, a lager, a wheat, and a sour. What sounds good? || Good choice. Pint or half-pint?","Could I see the cocktail list? || Could I get a taste? || Half-pint, just for now","Sipariş: 'I'll have a beer' veya menü iste: 'Could I see the cocktail list?' || Bira seç veya 'Could I get a taste?' (tat) ya da 'Surprise me'. || Bira boyu: 'Pint, please' veya 'Half-pint, just for now'. Türk: 'pint' = yaklaşık 500ml (US) / 568ml (UK). 'Half' = küçük şişe boyu. Türkiye'de büyük/küçük diyoruz.","","","",""
"order.bar.7.12","order","B1","Designated Driver — Alkolsüz Sipariş","Bartender","Bar, group of friends drinking around you","3","Hey, what'll you have? || No problem at all. We've got mocktails, sodas, NA beer, or just water. What sounds good? || Cool, our virgin mojito is great. You want lime and mint, or strawberry? || Lime and mint, classic choice. Here you go.","Something non-alcoholic — I'm the designated driver || I'll try a mocktail || Lime and mint, please","Direkt söyle: 'Something non-alcoholic — I'm the designated driver'. || Seç: 'I'll try a mocktail' veya 'What's your virgin mojito like?' || Tercih: 'Lime and mint, please' veya 'Whatever you recommend'.","","","",""
"order.bar.7.41","order","C2","Sarap Mantarlanmis — Iade","Sommelier","Upscale wine bar","3","How is the wine? Is it to your taste? || Of course — let me have a look. || You're right — there's definite TCA. Let me bring a new bottle.","I might be wrong, but I think it's corked || Thanks for indulging me || Thanks for confirming — I was second-guessing myself","B2 hedge: 'I might be wrong, but I think it's corked'. || B2: 'Thanks for indulging me'. 'Indulge' = nazikce dinlemek. || B2: 'Thanks for confirming — I was second-guessing myself'.","","","",""
"personal.b1.apology.1","personal","B1","Gerçek Özür ve Onarım","Partner","Reconciliation after a small but real hurt","3","Hey. Come in. I wasn't sure you'd come. || Okay. I'm listening. || I'd dressed up. I was actually looking forward to it. And the text was so cold — 'something came up'.","Thank you for letting me come. I have been thinking about Thursday, and I owe you a proper apology. || If you felt... || Landed","Saygılı ve doğrudan ol. Örnek: 'Thank you for letting me come. I have been thinking about Thursday, and I owe you a proper apology.' || Spesifik eylem + sahiplenme. 'If you felt...' tuzağına düşme. || Onun gerçekliğini doğrula. 'Landed' kalıbı. Senin niyetin değil — onun deneyimi.","","","",""
"professional.b1.bank.1","professional","B1","Opening a Bank Account","Bank Representative","Bank branch — customer service desk","3","Good morning. Welcome to Westbridge Bank. How can I help you today? || Of course. Are you looking for a current account or a savings account? || Understood. May I see a form of photo ID and proof of address, please?","Good morning. I'd like to open a current account, please. || Could you clarify the difference? || Here you are — my passport and a utility bill as proof of address.","Selamla + niyet belirt: 'Good morning. I'd like to open a current account, please.' || Seç ya da fark sor: 'A current account, please.' veya 'Could you clarify the difference?' || Belgeleri uzat: 'Here you are — my passport and a utility bill as proof of address.'","","","",""
"professional.c1.conflict.1","professional","C1","Çok Taraflı Çatışma Çözümü","Three stakeholders (Eng head / Marketing head / Product head)","Cross-functional escalation meeting, getting heated","3","[Marketing head]: 'Look — we have committed to customers. If engineering keeps slipping, my team has zero credibility.' [Engineering head]: 'We can't ship broken code to save your campaign.' [Product head, exasperated]: 'This is the third meeting on the same point.' || [Three faces look at you. Reflect their positions back — fairly.] || [Marketing head]: 'Yes, that's exactly it.' [Eng head]: 'Right.' [Product head]: 'Glad someone's listening.' || [Marketing]: 'I can work with 14-day notice.' [Eng]: 'The freeze part — can it be backed by exec sign-off? I need cover.' [Product]: 'Sounds workable.'","Let's pause. I hear each of you — this is legitimate on every side. Let me play back what I'm hearing. Correct me where I'm off. || Marketing needs predictability and notice. Engineering needs a freeze to ship quality. Product is trying to bridge both. The actual tension is the notice window. Am I capturing it? || Let me try to land this. Hard freeze locked today. Marketing gets 14-day notice — guaranteed. If eng slips, automatic notice triggers. Does that work for the room?","Reset + nötr: 'Let's pause. I hear each of you — this is legitimate on every side. Let me play back what I'm hearing. Correct me where I'm off.' || Pozisyonları adlandır: 'Marketing needs predictability and notice. Engineering needs a freeze to ship quality. Product is trying to bridge both. The actual tension is the notice window. Am I capturing it?' || Yapı: 'Let me try to land this. Hard freeze locked today. Marketing gets 14-day notice — guaranteed. If eng slips, automatic notice triggers. Does that work for the room?'","","","",""
"professional.c1.board.1","professional","C2","Kurul Sunumu — Çeyrek Güncellemesi","Independent Director","Board meeting, quarterly review, in-person","3","Let me be direct — revenue is 8% below plan and margin is flat. Why should the board have confidence in next quarter's number? || Concentrated where exactly? Last quarter you told us the SMB segment was your bright spot. || Reprice. And what does that do to margin? You can't promise both at once.","Appreciate the direct question. For context, the miss is concentrated in one segment — leading indicators point to recovery. Happy to walk you through the detail. || Fair callout. SMB softened in November on competitive pricing; we've since repriced. Early read is encouraging — expect normalization by Q2. || With respect, I'd push back — the reprice is surgical, tier-specific. Margin drag is 30-40 bps, absorbed through mix. Already in our Q2 model.","Aç: kabul + bağlam + öncü göstergeler. 'Appreciate the direct question. For context, the miss is concentrated in one segment — leading indicators point to recovery. Happy to walk you through the detail.' || Kabul + ne değişti + ne yaptık + sinyal. 'Fair callout. SMB softened in November on competitive pricing; we've since repriced. Early read is encouraging — expect normalization by Q2.' || Itiraz et + veri ver. 'With respect, I'd push back — the reprice is surgical, tier-specific. Margin drag is 30-40 bps, absorbed through mix. Already in our Q2 model.'","","","",""
"story.erasmus.1","story","A2","Gün 0 — Berlin havaalanı: 'I'm here for Erasmus'","German immigration officer","Berlin Brandenburg Airport, immigration desk","3","Passport, please. What's the purpose of your visit? || Which university? And how long will you stay? || Do you have your acceptance letter and proof of accommodation?","I'm here to study || For one semester || Here's my acceptance letter","Erasmus = 'exchange student' veya direkt 'Erasmus'. 'I'm here to study' da olur. Türk: 'I came for Erasmus' yerine 'I'm here for' daha doğal. || Süre: 'For one semester' veya 'four months'. Üniversite ismi: 'Humboldt University'. Türk: 'I will stay for' yerine 'For + süre' yeterli. || 'Here's my acceptance letter' = işte kabul mektubum. Yurdun varsa: 'dorm confirmation'. Türk: belgeyi uzatırken 'here you go' veya 'here it is' yeterli.","","","",""
"story.erasmus.14","story","B1","Gün 26 — 'what are we?' Lena ile DTR konuşması","Lena (define the relationship konuşması)","Lena's apartment balcony, Berlin, 11pm, 4 weeks before user leaves","3","Hey. Can I ask you something — and you don't have to have an answer right now? || What is this? Like — I know you leave in a month. But I don't know if I'm being stupid for caring this much already. || Okay. So what do we do? Pretend the deadline doesn't exist?","Of course, what's up? || You're not being stupid — I've been thinking the same. || Let's not pretend, but we don't have to solve it tonight.","Yumuşak hazırlık: 'Of course, what's up?' Türk: 'Yes ask' düz, 'Of course, ask me anything' sıcak/açık. || Empati önce: 'You're not being stupid — I've been thinking the same.' Türk: 'I don't know' tek başına soğuk, 'I've been thinking the same' samimi. || Olgun cevap: 'Let's not pretend, but we don't have to solve it tonight.' Türk: 'I don't know what to do' kaçınma, 'let's be honest' yüzleşme.","","","",""
"story.ielts.7","story","B2","Gün 13 — Writing Task 2: opinion essay first attempt","Coach Sarah","Online IELTS coaching, Writing Task 2 review","3","Read your Task 2. Strong ideas, weak structure. Your thesis is in paragraph 3 — should be in 1. || Right — English essays declare. Intro = topic + thesis. Body = support. Conclusion = restate. || Use this: 'It is often argued that X. In my view, Y because A and B.' Then body proves A and B. || Also — your conclusion just restated the intro word for word. Paraphrase.","In Turkish essays we build up to the thesis. || Topic + thesis in intro. || Locked in — let me redraft.","Sebep + kabul: 'In Turkish essays we build up to the thesis.' Türk: yapı farkını anla, İngilizce direkt. || Yapı kabul: 'Topic + thesis in intro.' Türk: yapı kuralını ezberle, Band 7 için zorunlu. || Şablon kabul: 'Locked in — let me redraft.' Türk: 'OK' düz, şablonu hemen uygula.","","","",""
"story.erasmus.10","story","C2","Gün 15 — İlk randevu: 'Glad you came tonight'","Lena (3. buluşma, ilk yemek randevusu)","Turkish restaurant in Kreuzberg, Saturday 8pm, dinner date","3","This place is incredible. And you actually pronounced everything on the menu correctly — show off. || So, real talk — how are you actually doing? Two weeks in. || Glad you came tonight. I almost cancelled — work was hell. || Tell me about Istanbul. Like, the real Istanbul, not the postcard version.","I'll take the compliment || meeting people like you helps || Glad you didn't","Şaka karşılığı: 'Mother tongue' = anadil. 'I'll take the compliment' = övgüyü kabul ediyorum. Türk: 'Yes I know Turkish' düz, 'twenty years of practice' eğlenceli/mütevazı. || Samimi cevap: 'Honestly, better than expected'. Türk: 'I am good' yüzeysel, derinlik ekle 'finding my rhythm' veya 'meeting people like you helps'. || Sıcak karşılık: 'Glad you didn't' (cancel etmediğine sevindim). Türk: 'Me too' yetersiz, 'I'm really glad you didn't' tam karşılık.","","","",""
"work.expand.1","work","A2","Ilk 1:1 — Kendini Tanitma","Engineering Manager (Sarah)","Video call — first 1:1","3","Hey, great to finally meet properly. So, tell me a bit about yourself — where are you coming from? || Nice — Istanbul to Berlin, that's a journey. How do you like working? Async, lots of meetings, what works for you? || Got it. How about feedback — do you want it in the moment, or batched up?","Thanks for the time — quick background: five years backend, mostly Python, based in Berlin, originally from Istanbul. || Honestly, I do my best deep work in the mornings — prefer async for status, but happy with one or two syncs a week. || Honestly, in the moment works best — don't sugarcoat. A written follow-up helps me track.","Klasik: 'Thanks for the time — quick background: five years backend, mostly Python, based in Berlin, originally from Istanbul.' || Net + esnek: 'Honestly, I do my best deep work in the mornings — prefer async for status, but happy with one or two syncs a week.' || Türk kültürü 'kibarlık' bekler ama direct feedback öğrenilir: 'Honestly, in the moment works best — don't sugarcoat. A written follow-up helps me track.'","","","",""
"work.coffeechat.13.1","work","B1","Coffee Chat Ayarlama","Senior Engineer","LinkedIn DM","3","Sure! What did you want to chat about specifically? || Got it. Are you currently in an IC role yourself, or thinking about the path?","Hi Sarah — saw your post on X. Would love to grab 15 min to pick your brain. || Curious about how you moved from IC to manager — will prep questions. || Currently an IC, been engineering for 4 years","Net acilis: 'Hi Sarah — saw your post on X. Would love to grab 15 min to pick your brain.' || Spesifik konu: 'Curious about how you moved from IC to manager — will prep questions.' || Mevcut rol: 'Currently an IC, been engineering for 4 years' veya 'Still exploring the path'.","","","",""
"work.codereview.15.1","work","B2","Yapici PR Yorumu Birakma","Junior Dev","PR review comment thread","2","Hmm, fair. Want me to split or roll it forward? || I'll split it now while I'm in the code. Thanks for the call out!","nit: consider splitting this function — it handles parsing + validation. || Your call — happy to ship now + follow-up PR, or split here.","Yapici: 'nit: consider splitting this function — it handles parsing + validation.' || Esnek: 'Your call — happy to ship now + follow-up PR, or split here.'","","","",""
"work.tech.14","work","C1","Tech Salary Negotiation — Equity Counter-Offer","Hiring Manager","Offer call (Zoom) — final negotiation","3","We're excited to have you. Final offer: $140k base, 0.1% equity, standard benefits. || Sure, what's on your mind? || Our budget is tight. We can't move much on base.","Thanks for the offer — really excited about the role. Wanted to talk through the comp. || Based on market research for senior eng roles in Berlin, comp is closer to $160k base. || Totally get it. If base is tight, could we look at equity or a sign-on bonus instead?","Acılış kabul + counter sinyali: 'Thanks for the offer — really excited about the role. Wanted to talk through the comp.' || Veri ile counter: 'Based on market research for senior eng roles in Berlin, comp is closer to $160k base.' Türk yazılımcı 'piyasa fiyati' = 'market rate'. || Alternatif: 'Totally get it. If base is tight, could we look at equity or a sign-on bonus instead?'","","","",""
