"scenario_id","mode","cefr","title","npc_role","setting","user_turns","npc_lines","model_answers","turkish_hints","naturalness_1_5","grammar_ok","cultural_fit_ok","reviewer_notes"
"ielts.p2.5","ielts","C1","Part 2 — A difficult decision you made","IELTS Examiner","Formal exam room","2","Describe a difficult decision you had to make. Say what the decision was, why it was difficult, and how you eventually decided. || Has time proven you right? || What advice would you give someone in a similar situation? || Thank you. Let's move on to part three.","I was torn between staying in my comfortable job and pursuing my master's abroad || In hindsight, I'd say I made the right call — though I sometimes wonder","Yapı: dilemma + iki yön + karar + sonuç. C1 register: 'I was torn between staying in my comfortable job and pursuing my master's abroad'. || 'In hindsight' = sonradan bakınca. C1 phrase: 'In hindsight, I'd say I made the right call — though I sometimes wonder'.","","","",""
"ielts.p3.3","ielts","C2","Part 3 — Education & Future Skills","IELTS Examiner","Formal exam room","2","Should higher education be free for everyone? || What skills will be most important in twenty years? || Is formal education still the best way to learn? || Thank you.","Ideally yes — it's the bedrock of social mobility. But funding it without compromising quality is the catch || Adaptability and emotional intelligence — automation will handle the technical, what's left is the human element","Tartışmacı görüş: 'Ideally yes — it's the bedrock of social mobility. But funding it without compromising quality is the catch'. || Geleceğe yönelik: 'Adaptability and emotional intelligence — automation will handle the technical, what's left is the human element'.","","","",""
"intro.match.0.1","intro","A2","İlk dating app Mesajı","dating app match (Emma, 26)","dating app DM","2","hey what's up :) || haha same. saw you like climbing — i've been wanting to try that. is it really as hard as it looks? || okay i'm sold. saturday? || perfect — saturday it is. i'll text you the details :) ","Just chilling, you? || You should try it sometime","Kısa + günlük. 'Just chilling, you?' veya 'Not much, you?' işe yarar. 'I am fine' yazma — robot gibi gelir. || dating app'da konuşma davete döndürülür. 'You should try it sometime' veya 'I can show you' — 2 mesajda buluşma teklifi açar. 'Yes it is hard' bitirir konuşmayı.","","","",""
"order.bar.7.1","order","A2","Bar İçecek Sipariş","Bartender","Busy bar, evening","2","Hey, what can I get you? || We've got six beers on tap — two IPAs, a stout, a lager, a wheat, and a sour. What sounds good? || Good choice. Pint or half-pint? || Coming right up.","Could I see the cocktail list? || Could I get a taste?","Sipariş: 'I'll have a beer' veya menü iste: 'Could I see the cocktail list?' || Bira seç veya 'Could I get a taste?' (tat) ya da 'Surprise me'.","","","",""
"order.bar.7.12","order","B1","Designated Driver — Alkolsüz Sipariş","Bartender","Bar, group of friends drinking around you","2","Hey, what'll you have? || No problem at all. We've got mocktails, sodas, NA beer, or just water. What sounds good? || Cool, our virgin mojito is great. You want lime and mint, or strawberry? || Lime and mint, classic choice. Here you go.","Something non-alcoholic — I'm the designated driver || I'll try a mocktail","Direkt söyle: 'Something non-alcoholic — I'm the designated driver'. || Seç: 'I'll try a mocktail' veya 'What's your virgin mojito like?'","","","",""
"order.bar.7.41","order","C2","Sarap Mantarlanmis — Iade","Sommelier","Upscale wine bar","2","How is the wine? Is it to your taste? || Of course — let me have a look. || You're right — there's definite TCA. Let me bring a new bottle. || Smart move. I'll bring a similar Burgundy from a different producer.","I might be wrong, but I think it's corked || Thanks for indulging me","B2 hedge: 'I might be wrong, but I think it's corked'. || B2: 'Thanks for indulging me'. 'Indulge' = nazikce dinlemek.","","","",""
"personal.b1.culture.1","personal","B1","Kültürel Konuşma — Stereotipsiz","Partner / Date","Conversation about culture","2","So is it really true that everyone in Turkey drinks tea all day and lives with their parents until they're thirty? || Got it — sorry, didn't mean to lump everyone together. What's actually changed for your generation? || Makes sense. What's something about my country you've genuinely wondered about? || Honestly? It varies a lot region to region. The Christmas thing for example — totally different in the north vs the south. We should compare notes sometime.","Tea — yes, that's real. Living with parents — depends a lot on the city. || Most of my friends moved out at 22, live with flatmates...","Bir kısmını kabul et, ama nüansla. 'Tea — yes, that's real. Living with parents — depends a lot on the city.' || Kuşağının nasıl değiştiğini somut anlat. 'Most of my friends moved out at 22, live with flatmates...'","","","",""
"personal.b1.apology.1","personal","B2","Gerçek Özür ve Onarım","Partner","Reconciliation after a small but real hurt","2","Hey. Come in. I wasn't sure you'd come. || Okay. I'm listening. || I'd dressed up. I was actually looking forward to it. And the text was so cold — 'something came up'. || Okay. I'm not magically over it, but this is a start. Friday — and you're picking the place.","Thank you for letting me come. I have been thinking about Thursday, and I owe you a proper apology. || If you felt...","Saygılı ve doğrudan ol. Örnek: 'Thank you for letting me come. I have been thinking about Thursday, and I owe you a proper apology.' || Spesifik eylem + sahiplenme. 'If you felt...' tuzağına düşme.","","","",""
"professional.b1.bank.1","professional","B1","Opening a Bank Account","Bank Representative","Bank branch — customer service desk","2","Good morning. Welcome to Westbridge Bank. How can I help you today? || Of course. Are you looking for a current account or a savings account? || Understood. May I see a form of photo ID and proof of address, please? || Perfect. I'll get the paperwork started — it should take about fifteen minutes.","Good morning. I'd like to open a current account, please. || Could you clarify the difference?","Selamla + niyet belirt: 'Good morning. I'd like to open a current account, please.' || Seç ya da fark sor: 'A current account, please.' veya 'Could you clarify the difference?'","","","",""
"professional.b1.complainthandling.1","professional","B2","Handling a Customer Complaint","Frustrated Customer","Inbound complaint call — late delivery + damaged product","2","I've been waiting two weeks for this order, and when it finally arrived, the box was crushed and the product is broken! || I want a full refund. I'm not interested in another replacement that takes another two weeks. || Fine. And what are you going to do about the damaged item? Should I send it back? || Alright. Honestly, this whole thing has been a nightmare. I'm not sure I'll order from you again.","I'm really sorry — I understand your frustration. Let me take ownership and put this right. || Absolutely — let me process a full refund right away. You should see the funds in three to five business days.","Empati + sahiplenme: 'I'm really sorry — I understand your frustration. Let me take ownership and put this right.' || Talebi kabul + spesifik aksiyon: 'Absolutely — let me process a full refund right away. You should see the funds in three to five business days.'","","","",""
"professional.c1.conflict.1","professional","C1","Çok Taraflı Çatışma Çözümü","Three stakeholders (Eng head / Marketing head / Product head)","Cross-functional escalation meeting, getting heated","2","[Marketing head]: 'Look — we have committed to customers. If engineering keeps slipping, my team has zero credibility.' [Engineering head]: 'We can't ship broken code to save your campaign.' [Product head, exasperated]: 'This is the third meeting on the same point.' || [Three faces look at you. Reflect their positions back — fairly.] || [Marketing head]: 'Yes, that's exactly it.' [Eng head]: 'Right.' [Product head]: 'Glad someone's listening.' || [Marketing]: 'I can work with 14-day notice.' [Eng]: 'The freeze part — can it be backed by exec sign-off? I need cover.' [Product]: 'Sounds workable.'","Let's pause. I hear each of you — this is legitimate on every side. Let me play back what I'm hearing. Correct me where I'm off. || Marketing needs predictability and notice. Engineering needs a freeze to ship quality. Product is trying to bridge both. The actual tension is the notice window. Am I capturing it?","Reset + nötr: 'Let's pause. I hear each of you — this is legitimate on every side. Let me play back what I'm hearing. Correct me where I'm off.' || Pozisyonları adlandır: 'Marketing needs predictability and notice. Engineering needs a freeze to ship quality. Product is trying to bridge both. The actual tension is the notice window. Am I capturing it?'","","","",""
"professional.c1.board.1","professional","C2","Kurul Sunumu — Çeyrek Güncellemesi","Independent Director","Board meeting, quarterly review, in-person","2","Let me be direct — revenue is 8% below plan and margin is flat. Why should the board have confidence in next quarter's number? || Concentrated where exactly? Last quarter you told us the SMB segment was your bright spot. || Reprice. And what does that do to margin? You can't promise both at once. || Appreciated. Let's see the Q2 plan in detail at the next session.","Appreciate the direct question. For context, the miss is concentrated in one segment — leading indicators point to recovery. Happy to walk you through the detail. || Fair callout. SMB softened in November on competitive pricing; we've since repriced. Early read is encouraging — expect normalization by Q2.","Aç: kabul + bağlam + öncü göstergeler. 'Appreciate the direct question. For context, the miss is concentrated in one segment — leading indicators point to recovery. Happy to walk you through the detail.' || Kabul + ne değişti + ne yaptık + sinyal. 'Fair callout. SMB softened in November on competitive pricing; we've since repriced. Early read is encouraging — expect normalization by Q2.'","","","",""
"story.erasmus.1","story","A2","Gün 0 — Berlin havaalanı: 'I'm here for Erasmus'","German immigration officer","Berlin Brandenburg Airport, immigration desk","2","Passport, please. What's the purpose of your visit? || Which university? And how long will you stay? || Do you have your acceptance letter and proof of accommodation? || Remember to register for your residence permit within 90 days.","I'm here to study || For one semester","Erasmus = 'exchange student' veya direkt 'Erasmus'. 'I'm here to study' da olur. Türk: 'I came for Erasmus' yerine 'I'm here for' daha doğal. || Süre: 'For one semester' veya 'four months'. Üniversite ismi: 'Humboldt University'. Türk: 'I will stay for' yerine 'For + süre' yeterli.","","","",""
"story.erasmus.14","story","B1","Gün 26 — 'what are we?' Lena ile DTR konuşması","Lena (define the relationship konuşması)","Lena's apartment balcony, Berlin, 11pm, 4 weeks before user leaves","2","Hey. Can I ask you something — and you don't have to have an answer right now? || What is this? Like — I know you leave in a month. But I don't know if I'm being stupid for caring this much already. || Okay. So what do we do? Pretend the deadline doesn't exist? || Long distance is brutal. I've done it before — it didn't work.","Of course, what's up? || You're not being stupid — I've been thinking the same.","Yumuşak hazırlık: 'Of course, what's up?' Türk: 'Yes ask' düz, 'Of course, ask me anything' sıcak/açık. || Empati önce: 'You're not being stupid — I've been thinking the same.' Türk: 'I don't know' tek başına soğuk, 'I've been thinking the same' samimi.","","","",""
"story.ielts.7","story","B2","Gün 13 — Writing Task 2: opinion essay first attempt","Coach Sarah","Online IELTS coaching, Writing Task 2 review","2","Read your Task 2. Strong ideas, weak structure. Your thesis is in paragraph 3 — should be in 1. || Right — English essays declare. Intro = topic + thesis. Body = support. Conclusion = restate. || Use this: 'It is often argued that X. In my view, Y because A and B.' Then body proves A and B. || Also — your conclusion just restated the intro word for word. Paraphrase.","In Turkish essays we build up to the thesis. || Topic + thesis in intro.","Sebep + kabul: 'In Turkish essays we build up to the thesis.' Türk: yapı farkını anla, İngilizce direkt. || Yapı kabul: 'Topic + thesis in intro.' Türk: yapı kuralını ezberle, Band 7 için zorunlu.","","","",""
"story.erasmus.10","story","C2","Gün 15 — İlk randevu: 'Glad you came tonight'","Lena (3. buluşma, ilk yemek randevusu)","Turkish restaurant in Kreuzberg, Saturday 8pm, dinner date","2","This place is incredible. And you actually pronounced everything on the menu correctly — show off. || So, real talk — how are you actually doing? Two weeks in. || Glad you came tonight. I almost cancelled — work was hell. || Tell me about Istanbul. Like, the real Istanbul, not the postcard version.","I'll take the compliment || meeting people like you helps","Şaka karşılığı: 'Mother tongue' = anadil. 'I'll take the compliment' = övgüyü kabul ediyorum. Türk: 'Yes I know Turkish' düz, 'twenty years of practice' eğlenceli/mütevazı. || Samimi cevap: 'Honestly, better than expected'. Türk: 'I am good' yüzeysel, derinlik ekle 'finding my rhythm' veya 'meeting people like you helps'.","","","",""
"work.expand.47","work","A2","Calisma Arkadasi Dogum Gunu — Türk Utangaclik","Coworker (Maya — birthday person)","Office kitchen, birthday celebration","2","Hey — come over, we're cutting the cake! || Thanks! Get a slice. || How are you settling in? || Oh, I love Istanbul. Been twice.","Coming — happy birthday Maya! || Love to — thanks for including me. New here, nice tradition.","Katil (kenara cekilme YOK): 'Coming — happy birthday Maya!' || Acik ol: 'Love to — thanks for including me. New here, nice tradition.'","","","",""
"work.coffeechat.13.1","work","B1","Coffee Chat Ayarlama","Senior Engineer","LinkedIn DM","2","Sure! What did you want to chat about specifically? || Got it. Are you currently in an IC role yourself, or thinking about the path? || Cool, send me a few times next week!","Hi Sarah — saw your post on X. Would love to grab 15 min to pick your brain. || Curious about how you moved from IC to manager — will prep questions.","Net acilis: 'Hi Sarah — saw your post on X. Would love to grab 15 min to pick your brain.' || Spesifik konu: 'Curious about how you moved from IC to manager — will prep questions.'","","","",""
"work.codereview.15.1","work","B2","Yapici PR Yorumu Birakma","Junior Dev","PR review comment thread","2","Hmm, fair. Want me to split or roll it forward? || I'll split it now while I'm in the code. Thanks for the call out!","nit: consider splitting this function — it handles parsing + validation. || Your call — happy to ship now + follow-up PR, or split here.","Yapici: 'nit: consider splitting this function — it handles parsing + validation.' || Esnek: 'Your call — happy to ship now + follow-up PR, or split here.'","","","",""
"work.tech.14","work","C1","Tech Salary Negotiation — Equity Counter-Offer","Hiring Manager","Offer call (Zoom) — final negotiation","2","We're excited to have you. Final offer: $140k base, 0.1% equity, standard benefits. || Sure, what's on your mind? || Our budget is tight. We can't move much on base. || Understood. Give me 24 hours to come back.","Thanks for the offer — really excited about the role. Wanted to talk through the comp. || Based on market research for senior eng roles in Berlin, comp is closer to $160k base.","Acılış kabul + counter sinyali: 'Thanks for the offer — really excited about the role. Wanted to talk through the comp.' || Veri ile counter: 'Based on market research for senior eng roles in Berlin, comp is closer to $160k base.' Türk yazılımcı 'piyasa fiyati' = 'market rate'.","","","",""
"work.tech.13","work","C2","Conference Talk Q&A — Handling Tough Questions","Audience Member","Tech conference Q&A session (mic on stage)","2","Great talk. Question: how did you handle data consistency during the cutover? || Specifically — what was the consistency lag p99 during dual-write? || Fair. Also — I'm catching you here too. Find me at the booth? || Different question — wasn't this whole microservices approach a mistake? Monolith would've been simpler.","Great question — we did dual-write for two weeks, then reconciliation jobs verified consistency before cutover. || Honestly — don't have the exact number off the top of my head. Happy to follow up offline.","Bilinen soru: 'Great question — we did dual-write for two weeks, then reconciliation jobs verified consistency before cutover.' || Bilmiyorsan: 'Honestly — don't have the exact number off the top of my head. Happy to follow up offline.' Türk yazılımcı kacinmak yerine kabul + offline.","","","",""
"airport.44.10","airport","A2","Kayıp Bagaj — Lost & Found","Baggage Service Agent","Lost & Found desk in baggage claim area","2","Hello, how can I help you? || I'm sorry to hear that. What flight were you on? || Do you have your baggage claim tag? || Where are you staying? We'll deliver it when it arrives.","Hi, my bag didn't arrive on the belt. || Flight TK1, from Istanbul.","Net aç: 'Hi, my bag didn't arrive on the belt.' 'My bag lost!' YANLIŞ — 'didn't arrive' veya 'is missing'. || Uçuş numarası + nereden: 'Flight TK1, from Istanbul.' Uçuş numarasını biniş kartından oku.","","","",""
"airport.44.15","airport","B1","Uçakta Yemek — ""Vejetaryen Var mı?""","Flight Attendant","Mid-flight meal service, friendly tone","2","Chicken or pasta tonight? || The pasta has a meat sauce. Did you request a special meal? || Let me check if we have any spare vegetarian meals. || Good news — we have one extra vegetarian pasta. Here you go.","I'm vegetarian — is the pasta meat-free? || No, I forgot to request one when I booked. Is there anything else?","Doğrudan sor: 'I'm vegetarian — is the pasta meat-free?' 'I am not eat meat' YANLIŞ → 'I don't eat meat'. || Dürüst ol: 'No, I forgot to request one when I booked. Is there anything else?'","","","",""
